name,subgraph_id
Uniswap,7WXaWRE2GbBpmokFAnQfugpVsC61D9dfR6fHgjQFqpq5
Compound,7nuSuPhUgKSg5uKRh8g5jyjZWE8DnvQw1mQtvDWpxrnh
ENS,GyijYxW9yiSRcEd5u2gfquSvneQKi5QuvU3WZgFyfFSn
Ampleforth,B7zUhfTTV7mi2QZgUL661D714NGqeLtk6h3q3Mf2xNNa
Radicle,8jQvvEWJffzA48kxnPhuG7dqv4MWwPatVKKbxzr66xiN
Cryptex,AnAnCpeyy2ZbP2BLZw9u7VjGtVtRorvYuGU3vME1na7F
Gitcoin,By35hUZiWiHNzRsdDnxFU9T47YUNZwPjfhwD1iBbNGQL
Hifi,ANAXtqRM9cUySpQZ8xuaFTdu1oFCj4HYaRXXiChTihAM
Hop,9RFPnB3zNjtc7x9kowTyBU2YVGUFSJRe27EBJWLMVgy6
PoolTogether,8rW1keThqpvtoBz7V2iNbo3wqcPCJZTBGuc3frGKbyi2
Threshold,Bk9fLLKttYoM4fE1cXXCq61owGqFtX1RsS8kEtDnDELC
